咱们裸熊：电影版 We Bare Bears: The Movie,喜剧/动画,2020-06-30(美国),7.5,2020-06-30 15:38:10,叠罗汉，不走熊常路
电影就是电影 영화는 영화다,剧情/动作,2008-09-11(韩国),7.5,2011-04-30 19:20:04,一部很man的男人戏，有味道。两个男主角都是我喜欢的。
电影就是电影 영화는 영화다,剧情/动作,2008-09-11(韩国),7.5,2017-03-05 07:09:59,小成本的制作锋芒毕露，影像证明了一切。象流氓一样的演员和象演员一样的流氓的故事。最终人性得到了升华。
电影就是电影 영화는 영화다,剧情/动作,2008-09-11(韩国),7.5,2010-07-03 12:35:57,最后一段滩涂对打很爽
电影就是电影 영화는 영화다,剧情/动作,2008-09-11(韩国),7.5,2009-09-22 18:08:20,好完美的一场黑色幽默！我爱苏志燮！！！！！！！！！！
电影就是电影 영화는 영화다,剧情/动作,2008-09-11(韩国),7.5,2011-08-03 04:41:36,金基德的味道真濃。有些細節可以做得更好。
色情电影院 La chatte à deux têtes,剧情/同性,2002-10-10,6.5,2007-11-23 10:37:21,差不多也算独树一帜，但力度不够
色情电影院 La chatte à deux têtes,剧情/同性,2002-10-10,6.5,2010-07-25 21:12:12,没看懂。
色情电影院 La chatte à deux têtes,剧情/同性,2002-10-10,6.5,2018-05-20 02:21:16,设定诱人，但就是太多中老年肥胖油腻男，影响观感。不过这种尺度的甚至更大耻度的我珍藏了700多部了
色情电影院 La chatte à deux têtes,剧情/同性,2002-10-10,6.5,2010-11-03 11:58:47,小时候很厌烦的一片.重看之下发现其实是挺不错的.有点小说冬季宿营地的味道啦!发现导演JACQUES NOLOT演的片子以前也看过不少了.在00年以后浮夸的同志电影大气候中间，此片的平静和耐心尤其显得可贵，首先是电影，然后是同志电影.台词:月圆啦!我需要鸡巴!
悲惨世界 Les Misérables,剧情/爱情/歌舞,2013-02-28(中国大陆),8.7,2012-12-28 11:46:20,你遇见谁你就变成谁
悲惨世界 Les Misérables,剧情/爱情/歌舞,2013-02-28(中国大陆),8.7,2012-12-16 07:37:29,看此片前强烈建议你上youtube免费看悲惨世界百老汇25年特辑音乐剧！（有字幕）让你在剧院看戏不会因为音乐剧英语消耗量太大而苦恼.
悲惨世界 Les Misérables,剧情/爱情/歌舞,2013-02-28(中国大陆),8.7,2013-01-15 18:55:34,可预知的催泪电影，即便是熟知的故事并有过音乐剧版的经验，电影版仍会数度被打动。毁誉参半的特写恰是我很喜欢的地方，它赋予了这个经典新的体验，观众与演员的距离更近，情绪也更加饱满和浓烈，它弥补了演员在演唱感染力的缺陷。还有手持摄影，汤姆·霍伯的电影在摄影上一直很敢。安妮海瑟薇确实不错
悲惨世界 Les Misérables,剧情/爱情/歌舞,2013-02-28(中国大陆),8.7,2012-12-01 14:18:39,超乎想象的好。。。罗素克劳为人诟病的唱功竟然也讨人喜欢起来，其他就不用说了。Iive-singing的拍摄手法没白用，很期待导演主演们谈谈这种史无前例方法的心得。喜欢音乐剧的人们看10次也不会腻烦。
悲惨世界 Les Misérables,剧情/爱情/歌舞,2013-02-28(中国大陆),8.7,2012-12-24 20:34:45,敬畏苦难，就像爱人脸上越来越深的纹路。小时候一度认为冉·阿让是被珂赛特拖累死的，因此很不喜欢她。但这么多年再来看电影，终于懂了冉·阿让有了珂赛特之后获得的救赎。
小黄人大眼萌：神偷奶爸前传 Minions: The Rise of Gru,喜剧/科幻/动画/犯罪/冒险,2022-08-19(中国大陆),7.1,2022-07-06 01:38:30,其实只要放两个小时小黄人搞笑卖萌就行了，真的不要费心思去编什么故事的
小黄人大眼萌：神偷奶爸前传 Minions: The Rise of Gru,喜剧/科幻/动画/犯罪/冒险,2022-08-19(中国大陆),7.1,2022-07-05 06:58:32,小黄人们：🥺🥺🥺 全场：awwwww🥰💕
小黄人大眼萌：神偷奶爸前传 Minions: The Rise of Gru,喜剧/科幻/动画/犯罪/冒险,2022-08-19(中国大陆),7.1,2022-07-06 05:43:30,笑了但没完全笑
小黄人大眼萌：神偷奶爸前传 Minions: The Rise of Gru,喜剧/科幻/动画/犯罪/冒险,2022-08-19(中国大陆),7.1,2022-07-01 11:02:39,过于幼稚不是最大的问题，而是创作上的偷懒和整体的无趣。小Gru的经历本身并没有太大看点，而中国元素的应用简直让人扶额，相比之下功夫熊猫也不算糟了
小黄人大眼萌：神偷奶爸前传 Minions: The Rise of Gru,喜剧/科幻/动画/犯罪/冒险,2022-08-19(中国大陆),7.1,2022-07-06 01:38:30,其实只要放两个小时小黄人搞笑卖萌就行了，真的不要费心思去编什么故事的
小黄人大眼萌：神偷奶爸前传 Minions: The Rise of Gru,喜剧/科幻/动画/犯罪/冒险,2022-08-19(中国大陆),7.1,2022-07-05 06:58:32,小黄人们：🥺🥺🥺 全场：awwwww🥰💕
小黄人大眼萌：神偷奶爸前传 Minions: The Rise of Gru,喜剧/科幻/动画/犯罪/冒险,2022-08-19(中国大陆),7.1,2022-06-25 11:08:25,张家界丢宝玉，小黄人学功夫，十二生肖大战唐人街，中国元素超饱和的格鲁起源大电影，连片头曲Bang Bang都是中文的。11岁就立志成为天下第一坏，却始终不忘坏就要一起坏的初心，可能这就是神偷奶爸可爱的原因吧。小黄人开飞机那段太好笑了，我想大叫BA--NANA！
